id,name,address,city,state,zip,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,created_by
133,Talking Waters Brewing,205 S 1st St,Montevideo,MN,56265,,,,3pm-10pm,3pm-10pm,12pm-10pm,,,Brewery,https://www.talkingwatersbrewing.com,-95.72433622999995,44.944614854000065,1
135,Enki Brewing Co,1495 Stieger Lake Ln,Victoria,MN,55386,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.65645924099994,44.861408963000024,1
136,U4IC Brewing Co,23436 Union Tr,Belle Plaine,MN,56011,,,,4pm-9pm,4pm-11pm,12pm-11pm,,,Brewery,http://u4icbrewing.com,-93.85541964599997,44.60931007600004,1
137,Waconia Brewing Co,255 W Main St,Waconia,MN,55387,4pm-9pm,4pm-9pm,2pm-9pm,2pm-9pm,2pm-10pm,11am-10pm,11am-9pm,,Brewery,http://www.waconiabrewing.com/,-93.79013767199996,44.85026853800008,1
138,Schram Vineyard Winery & Brewery,8785 Airport Rd,Waconia,MN,55387,,,,1pm-9pm,1pm-9pm,12pm-9pm,12pm-5pm,summer hours April - October,Brewery,http://www.schramvineyards.com/p/home.html,-93.74485497399996,44.84379492300007,1
139,The Freehouse,701 N Washington Ave,Minneapolis,MN,55413,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,,Brew Pub,https://www.freehousempls.com/,-93.27735339099995,44.98762544300007,1
140,Granite City Food & Brewery,851 Rosedale Center,Roseville,MN,55113,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16965350099997,45.012863122000056,1
141,Granite City Food & Brewery,851 Rosedale Shopping Center,Roseville,MN,55113,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16965350099997,45.012863122000056,1
145,Nutmeg Brewhouse,3673 Lexington Ave N,Arden Hills,MN,55126,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,,Brew Pub,http://nutmegbrewhouse.com/,-93.14792477899994,45.05197639600005,1
146,Roma Restaurant & Brewery,310 Stillwater Rd,Willernie,MN,55090,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-10pm,11am-10pm,11am-9pm,,Brew Pub,http://www.roman-market.com/brewery,-92.95795670299998,45.05717749500007,1
148,Granite City Food & Brewery,11909 Main St,Maple Grove,MN,55369,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/location/eagan-minnesota/,-93.43196913699995,45.090547595000025,1
151,Chatterbox Pub,2229 E 35th St,Minneapolis,MN,55410,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,10am-1am,10am-1am,,Brew Pub,http://www.chatterboxpub.net/,-93.32865425599994,44.92128554100003,1
152,Town Hall Station,4500 Valley View Rd,Minneapolis,MN,55424,,,,,,,,,Brew Pub,http://townhallstation.com/,-93.33947930199997,44.89199058800005,1
153,Birch's on the Lake Brewhouse,1310 W Wayzata Blvd,Long Lake,MN,55356,,,11am-12am,11am-12am,11am-12am,10am-12am,10am-2pm,,Brew Pub,http://www.birchsonthelake.com/,-93.55623971499995,44.98529127600004,1
155,Granite City Food & Brewery,3330 Pilot Knob Rd,Eagan,MN,55121,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16651967499996,44.83641437800002,1
157,Union 32 Craft House,2864 Hwy 55,Eagan,MN,55121,,,,,,,,,Brew Pub,https://www.union32crafthouse.com,-93.13093072899994,44.85383986100004,1
159,Nutmeg Brewhouse,1905 Co Rd 42 W,Burnsville,MN,55306,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,,Brew Pub,http://nutmegbrewhouse.com,-93.30368441199994,44.745793450000065,1
160,Lazy Loon Brewing,305 Wilson St E,Norwood Young America,MN,55368,1pm-8pm,1pm-8pm,1pm-8pm,1pm-8pm,1pm-10pm,1pm-10pm,1pm-8pm,"bowling, guest beer, wine, other drink options",Brew Pub,http://www.lazyloonbrewing.com/,-93.92152721499997,44.77023641100004,1
161,Lakeville Brewing Co,8790 Upper 208th St W,Lakeville,MN,55044,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,11am-11pm,9am-11pm,9am-9pm,,Brew Pub,https://lakevillebrewing.com,-93.24385409699995,44.64772790100006,1
162,Great Waters Restaurant & Brewing Co,426 Saint Peter St,St Paul,MN,55102,,11am - 2am,11am - 2am,11am - 2am,11am - 2am,11am - 2am,11am - 2am,,Brew Pub,http://greatwatersbc.com,-93.09689253699996,44.94666838900008,1
163,Forager Brewing,1005 6th St NW,Rochester,MN,55901,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,10am-11pm,,Brew Pub,https://foragerbrewery.com,-92.47825444699997,44.02948582500004,1
164,Grand Rounds Brewpub,4 3rd St SW,Rochester,MN,55902,11am-10pm,11am-10pm,11am-10pm,11am-12am,11am-12am,11am-12am,12pm-8pm,,Brew Pub,https://grandroundsbrewing.com,-92.46331128799993,44.02027523900005,1
166,Bub's Brewing Co,65 E 4th St,Winona,MN,55987,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,,Brew Pub,http://www.bubsbrewingco.com,-91.63650577899995,44.05106754700006,1
167,Wellington's Backwater Brewpub,1429 W Service Dr,Winona,MN,55987,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,http://wellingtons-pubandgrill.com/wellingtons/,-91.67596585299998,44.04627239800004,1
168,Barley John's,781 Old Highway 8 SW,New Brighton,MN,55112,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,,Brew Pub,http://www.barleyjohns.com/,-93.19816626499994,45.03614780100002,1
172,Granite City Food & Brewery,3945 2nd St S,St Cloud,MN,56301,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/location/st-cloud-minnesota/,-94.20638620499994,45.55005762000008,1
